Comment,Sentiment,Food,Service,Value,Ambience,Cleanliness,Amenities,Hospitality,Location,Front-Desk,Room
Well mannered and cooperative staff. Check in - Check out was very smooth. Well mannered and cooperative staff. Decent spread of breakfast ( which was complimentary). Located conveniently in Koramangala. Ordered for room service - Service was prompt but the quality and quantity was OK.   ,0,3,0,3,3,3,3,1,3,3,3
Well mannered and cooperative staff. Check in - Check out was very smooth. Decent spread of breakfast ( which was complimentary). Located conveniently in Kormangala. Ordered for room service - Service was prompt but the quality and qunatity was OK. Overall a 4 star experience at decent tariff.  ,0,0,3,3,3,3,3,0,3,3,3
Location was a little cramped. The service was good and the food also was good. Need more bigger water bottles in the room. The bar counter can be made more bigger and better. You can offer more in the breakfast menu.,0,3,3,2,3,3,3,3,3,3,3
Very spacious rooms.. Nice ambience... The breakfast was delicious with so many varieties.. North indian south indian... The room was bigger than expected... Attentive staff and very helpful... Location is good too.. Near the city centre.,0,1,3,3,3,3,3,1,1,3,3
"I was driving to Chennai from Mysore, we decided to stop at Bangalore. We got a free upgrade to a suite room since they were sold out with other rooms. The room we got was excellent for the money we paid. I could not find anything in negative side. Beautifully designed bathroom, two TVs in the room, rain shower and many more amenities. You can say its a four star hotel at the price of a three star property. Breakfast was also good with blend of all varieties. Staff were pleasant and trying to help with a smile.   ",1,0,3,1,1,3,3,1,3,3,3
"Everything par excellence! No grievances of any kind absolutely. Best part being the hospitality and the ambience. Location was also suitable to my requirements. I would certainly stay here again in my next visit to Bangalore. Entire staff was so cooperative, responsive and courteous.  ",1,3,3,3,3,3,3,1,1,3,3
It was pleasant stay in Bangalore. Hotel Staff was friendly and helpful. Food quality was good and at a low cost. Breakfast was good and service quality was good as well. Overall experience was superb.,1,1,1,1,3,3,3,1,3,3,3
"It was a remarkable experience to stay over night with my wife at Davanam Sarovar Portico Suites, bangluru. The ambience of the room and the kind of the services provided are far excellent at the price charged for the room. The food quality is also of high standards. Ultimately I will call it as a very good value of money.  ",1,1,3,1,1,3,1,3,3,3,3
We reached there. It was nice welcome and check-in. We stayed there for very limited time and not able to enjoy the Hotel Hospitality. We packed the morning breakfast as we had early morning flight. So overall it was good to be there. One must go there and stay.,0,3,3,3,3,3,3,1,3,3,3
Good spacious rooms and the staff is helpful and courteous specially in restaurant. Buffet has a good collection at morning and also during dinner and prices very reasonable. A business hotel but is also very good choice for families having all kind of required facilities.  ,1,1,3,1,3,3,3,1,3,3,1
Nice hotel but facilities not properly given to customers. To save money basic facilities from Deluxe suite was removed and provided only if asked. Hotel trying to save money by reducing facilities if booked through MMT.,0,3,3,3,3,3,2,3,3,3,3
The hotel room is good. Not impressed with the bathrooms. The service is very good. The in room dining experience was great. Although the food is over priced. Overall a pleasure stay at the hotel.,0,3,1,2,1,3,3,3,3,3,1
Stayed here for a couple of days. Got an awesome deal on MMT. Good location. Nice property. Great rooms (suites rather). Good service. Great spread laid out for breakfast. Food was good. The suites in themselves are commendable. Very comfortable. Nice decor. Good lighting. Nice Washroom. Will definitely come back here in the future. Keep it up guys!  ,1,1,1,3,1,3,3,3,1,3,1
"Hey I was there for my business trip just for 1 day. I checked in very late in the night. My room was quite comfortable & cosy. After a tired day very good service was provided by the front desk. I thought check in would be long and tiring but it was quite smooth &amp; quick, which I really appreciate. Food was also quite delicious. Attraction of the hotel is the lobby & entrance. Next day I had breakfast which was really very good. Over all stay was quite comfortable, I would recommend, the only thing which bothered me was that the mattress was little hard. Otherwise perfect stay.   ",0,1,1,3,3,3,3,3,3,3,3
"The staff was not good enough. They made me wait for a very long time. And behaviour was impolite. There was an injuring on my hand as I met with accident. Due to which there was stain on bead sheet, they forced me to pay 2k, this is ridiculous.",2,3,2,3,3,3,3,2,3,3,3
"Visited with my family. Room was very spacious, front office staff very polite and cooperative, free upgrade was offered, sumptuous breakfast, nice gym and top floor pool was great. Will stay again on my next visit. I will recommend this hotel to my friends.",1,3,3,3,3,3,1,3,3,3,1
Big room. Nice and well made room. Very spacious. Food was very tasty in clouding morning breakfast but costly. Location is at Madiwala so not so good as all tech park or office are away and Bangalore has heavy traffic.,0,3,3,1,3,3,3,3,2,3,3
"I was on a business trip. Location is okay if you have work in south of Bangalore, very far from the airport though. Service is good. Staff friendly. Food good too. Rooms are quite big. I got pretty good discount, hence it was value for money. Overall good experience.",1,1,1,1,3,3,3,1,0,3,3
"Great experience, good service, ambience, location was great very near to the main road. Pleasant staff, great food & breakfast recommended. Hospitality is something to speak about overall a must visit for location near Koramangala or Madiwala.",1,1,1,3,1,3,3,1,1,3,3
Rooms were spacious. Location is good with a mall beside it. The complimentary breakfast was also good. The ambience and service was great. The staff were well trained and courteous. Kormangala forum mall is also very near 2 the hotel,1,1,1,3,1,3,3,3,0,3,3
Had a stay as a couple for a weekend getaway the staff were very curtious and responsive. The systems and processes were eccentric equal to 5 star. Rooms were spacious and amenities value for money. Would like to stay here every time on my visit to Bengaluru.,1,3,3,1,3,3,3,1,3,3,1
Generally happy and satisfied. But the location is too congested and outside the hotel lacks cleanliness. If it was in a relatively better location then the hotel would have been even more worth,0,3,3,3,3,2,3,3,2,3,3
The hotel has excellent rooms and good concept of service apartment type rooms. Our room non 707 was approx of 850 sq ft with fridge microwave and induction plate apart from normal goodies like tea pot etc. The staff including reception housekeeping restaurnat and huards are super friendly. The location of hotel above mall is full value for money  ,1,3,1,1,3,3,3,3,0,3,1
Rooms were neat and tidy. Interiors were good and rooms was spacious. Food was amazing and customer service was excellent. A good experience. We actually booked for one day but we extended our stay just to relax.,1,1,1,3,3,3,3,3,3,3,3
"The rooms are pretty big with sofa and bed and two TVs. The location is also good as its next to a mall. The restaurant is very good with a great menu. The breakfast menu is also very good and complete. The service is good. The rooms are closed hence they smell a bit, otherwise perfect experience.  ",0,0,0,3,0,3,3,3,3,3,3
Spacious rooms. Amazing service. Full fledged breakfast. Close to the mall. Everything is perfect. I loved this hotel and will recommend this to everyone. I got this as a cheap price from MMT. So it was value deal!,1,3,1,1,3,3,3,3,3,3,1
The stay was very pleasant and the service was quick as well. The staff was very nice and we had an amazing weekend. The rooms were very clean and the staff was efficient. Spacious and luxurious rooms. Overall amazing stay.,1,3,3,3,3,1,3,3,3,3,1
I stayed at the davanam sarovar portico suites for a day. The room is a deal for the price. I booked it through make my trip. Got a one hr beer service for free. Food is great taste but quiet expensive.,0,1,3,0,3,3,3,3,3,3,3
"I really loved my stay, rooms were very spacious with all modern interiors and service was of top class. Food was amazing with many varieties of dishes. Looking forward to stay in this hotel in future.",1,1,1,3,3,3,3,3,3,3,1
Room was good and spacious. And most importantly the view it is amazing. The big window relates you to the morning Sun light. Introduces you to the ever running Bangalore. The glimpse of blended Indian tradition.,0,3,3,3,3,3,3,3,3,3,3
Rooms are quiet nice. Location is very good Staff are very efficient. Food is good but too expensive. For business travellers location of hotel is very good. Advent to this more mall where you can do shopping.,0,1,3,2,3,3,3,3,1,3,0
"Excellent rooms with full facilities. 8th floor was the best place to relax. Overall a very beautiful and nice place. Would like to visit again in near future. Best part, can order food at any time specially at night which is rarely seen.",0,3,1,3,3,3,3,3,3,3,3
"Nice clean nice room with separate living area, dressing area and kitchen - full suite. This was my second stay in this hotel, good comfortable stay and food of tangerine restaurant is really Good. The only fault I found in my this and last stay was that the floor slope of bathing area is not made correctly and water accumulate while taking Bath.  ",0,1,3,3,3,2,1,3,3,3,3
The room was very well designed and spacious. The walk-in wardrobe was surprisingly well placed. The breakfast spread was quite lavish and had all the cuisines including Japanese and continental. Finally the hotel staff was very pleasant and surprised us on the way out with chocolates.   ,0,3,3,3,3,3,3,1,3,3,3
"Hotel is located in Madiwala and easily accessible to IT locations. Good place to stay for business travelers. Staff is courteous, service is good and food quality is excellent. They need to add more facilities for family travelers. Wont recommend for family trips with current facilities.   ",1,1,1,3,3,3,3,1,1,3,3
"Room location was OK, staff is courteous and service is good. Food quality is excellent. Good place to stay for business travelers. Need to develop more facilities for travellers on family trips for relaxation.",0,1,1,3,3,3,2,3,0,3,3
"Expensive for the location and reception staff service. The reception staff are rude. They don't know what customer service mean. By the by, they ask for your all the details of your credit card including the card number, expiry date, etc. That's really dangerous. Never seen any hotel of this kind taking all these details while the bank warns its customers to never disclose these details to anyone.  ",2,3,3,3,3,3,3,2,3,3,3
"Enjoyed the stay. This is my fifth visit. Clean rooms, clean beds and bathrooms. Excellent Buffet breakfast. Definitely value for money. I feel, except for the location which seems pretty hard to get in, everything is great! I Love the 'Tangerine' dining area.",1,1,3,1,3,1,3,3,2,3,3
"Very nice Stay. Room service is very swift and polite... Rooms in itself is very clean with excellent facilities. Reception is cool. Complete value for money, in fact more than that Overall pleasing stay. :-)",1,3,1,1,3,1,1,3,3,1,3
The room was great and spacious with good amenities and facilities. Our experience was great. Breakfast was vast and tremendous with loads of options. It was centrally located with parking available at no cost. In total perfect.,1,1,3,3,3,3,1,3,3,3,3
"Sarovar group is always known for good upscale business class hotels and this property is no exception. Huge rooms, convenient location and good food are the highlights of this one. Very friendly hotel staff ensured very faster check in and check out times.",1,1,3,3,3,3,3,1,1,3,1
"My favourite hotel in Bangalore, for past two years every stay was great, the people here was awesome, the food was fabulous and the rooftop pool has a great view of city, there should be a cafe in the roof top maybe they will do it later, over all the best hotel with great ambience.  ",1,1,3,3,1,3,3,1,3,3,3
"It is middle of the city, easy access to all major places like Koramangala, MG Road, Electronic city, Indira nagar. Food is also good with lot of varieties. Very cleanliness and service also excellent.",1,1,1,3,3,1,3,3,1,3,3
"This is my first stay and as people say, first impression will always be remembered. It was a nice feel as I entered to the hotel and the reception staff was very professional. After a pretty quick check in formalities, I was directed to the room and the luggage was sent over later. Very nice place and you get peaceful stay without any disturbances. Very good food served at the restaurant for breakfast as well as room service.  ",0,1,1,3,3,3,3,1,3,1,3
"I have stayed in various Sarovar properties in the country. This one was the best I found. The staff was courteous to offer me a free upgrade. The suit room is very spacious - approx. 900 sq. Ft. ; An area in which one finds compact 2 BHK apartments in Mumbai. The mall adjoining the hotel is a good option for dinner - Must visit a jungle themed restaurant - Serengeti and also an attached bar - Zanzibar - the waiters are dressed as forest guards and it's good. The breakfast at Sarovar is a very well spread and I enjoyed it thoroughly. The staff was kind enough to help me with an early check-in - all you got to do is inform them of your arrival in advance. Just one point, take early morning arrival flight as it is 1. 5 hr. Drive and earlier the better as you can avoid traffic. Enter hotel by 9 AM. Have breakfast and gain entry in your room by 10 AM. Great place to stay.. Has awesome view of Bangalore from room..  ",1,3,3,3,3,3,3,3,3,3,1
"This was 6th official tour to this 5* property. Excellent city and nothing wrong. Full value for money. Food is yummy, mouthwatering and buffet breakfast are awesome. The whole variety North Indian, South Indian continental everything. No doubt my first and only choice to stay at this location in Bangalore.  ",1,1,3,1,3,3,3,3,3,3,3
Good stay in the city. Ideal if you want to travel by bus to another city. Good facilities within and near by. Good view of the city. Great food. Vast varieties. They even provide packed complimentary break fast if you want to travel early morning. One drawback is that their service lacks the enthusiasm.  ,0,1,2,3,3,3,3,3,3,3,3
I was impressed once I have seen the rooms. It's so beautiful and big. The hotel is in mil prime location. I loved the breakfast buffet and lunch too. Lot of varieties. Enjoyed a lot. They have even 2 led TVs one in main hall and in bed room too. Its like L shape room with large hall. They have everything what you needed.  ,1,1,3,3,3,3,3,3,1,3,3
"Just in town from Hyderabad one night. Off to meetings in the morning. Hotel is insanely great. I was upgraded to an executive suite for free. Spectacular rooms. Staff are friendly yet extremely professional. Restaurant was great for dinner, then a business meeting. Breakfast has great selection: Indian food, American food, omelette bar, fruits, and really good, strong, fresh groundwater coffee. Staff are so good. Especially Sonu in the restaurant. She made me feel at home, a long way from home.  ",1,1,1,3,3,3,3,1,3,3,3
Stayed 2 nights with the family and was a really great place to stay. Location is perfect and the rooms are very spacious and staff is very friendly. I have stayed here in the past and the service has always been great. Would be staying there in the future as well.,1,3,1,3,3,3,3,1,1,3,1
Great hotel with a convenient location. Rooms well furnished. Check in process extremely smooth. The room service took a more than average time. However the quality of the food served more than made up for it. Excellent spread for breakfast All in all a luxurious no hassle stay.   ,0,3,0,3,3,3,3,3,1,3,1
"Spacious room, tasty food, pleasant stay. The room was quite big value for money. Food was tasty with fast service. The breakfast was complementary with many options to eat. Had a good stay. Value for money.",1,1,1,1,3,3,3,3,3,3,3
A very nice hotel than expected. They surprised us with their hospitality on arrival. Nice service. Great value for money spend. Nice ambience. Suggest for family/ business traveler. Satisfied with our stay.,1,3,1,1,1,3,3,1,3,3,3
Good decent stay would love to come next time as well. The location is also good and the staff is also supportive. Rooms are also big and clean. Washrooms are also clean and hygienic as compared to other hotels in Bangalore.,0,3,3,3,3,1,3,1,3,3,1
This was our 2nd visit. Management upgraded our room on request. Everything was fine except room service and housekeeping this time was not as good as was on our last visit. We look forward to visit again and stay here.,0,3,2,3,3,3,3,3,3,3,3
A very good hotel with excellent rooms with suites and a full value for money. Extremely polite and cooperative staff. The break fast spread is very awesome along with good variety. The advantage of this hotel is location above mall so all amenities are available at some throw distance.  ,0,1,3,3,3,3,3,1,1,3,3
"Good ambience and good food. Location suitability depending on work, Expansive rooms that you would enjoy. The breakfast spread was excellent.. Did not have lunch and dinner to comment. Staff were mannered and pleasant. Would surely make it a point to stay again. Best of luck.  ",1,1,3,3,1,3,3,1,0,3,1
"The rooms are very clean and have a great ambience. The breakfast buffet does cover north Indian, south Indian as well as continental cuisines accompanied with various types of juices and beverages. The staff is very supportive as well.",1,1,3,3,1,1,3,1,3,3,1
"Value for money. By all means very nice hotel at Bengaluru. Food quality is also very good. One must try if planning trip to Bengaluru. Swimming pool, spa, free Wifi, good staff and services provided by everything is good.",1,1,3,1,3,3,1,3,3,3,3
"This is one of the best hotel I have encountered in my journey. The room was clean, comfortable, well furnished and spacious. I will definitely recommend this hotel for both business and family trip. The only drawback was expensive food.",1,2,3,3,3,1,3,3,3,3,1
I had stayed in this hotel for 2nights along with my wife and my 2year old kid ... The rooms of the Hotel is huge and it's more like a bedroom apartment. The hotel staff is very humble and the food is excellent. The buffet served has lots of option. The staff was so nice to my kid that they got a beautiful gift for him as a good gesture. In all one of the best hotel in terms of services.  ,1,1,3,3,3,3,3,1,3,3,1
Good value for money. 1st time I stayed there - was quite impressed witb him. This time it was just OK. Some issues faced - there was no water and Bath towels in the room. Had to call for it. Requested for fixing an issue with TV. Reception people said they will send someone but never sent one. Overall OK.  ,0,3,2,1,3,3,3,3,3,2,3
Overall - OK. Services needs to be improved particularly at break-fast. I asked for a dosa - they took almost 15minutes and coffe also was ordered but after 20minuts also coffe not arrived finally i moved to my work without coffee. Overall service is poor,0,3,2,3,3,3,3,3,3,3,3
"Rooms are clean & well done. Linen is good, service excellent. Tried their restaurant & the good was lovely. Their morning breakfast is good spread. Courteous staff at Front office. If you are in Bangalore worth staying at this place!",1,1,1,3,3,1,3,1,3,1,1
Me and my family simply loved. We got more than we expected .. Nice staff .. Nice suite ... Loved the time in swimming pool ... Loved the grand breakfast with a wide spread of tasty dishes I cant find words ... Keep it up ... Looking forward to stay again in this hotel. Absolute value for money .. Thanks make my trip for giving a very subsidized rate ...  ,1,3,3,1,3,3,3,1,3,3,1
"I just needed a standard business room but I was in for a surprise that the rooms here I fact were studio suites. Beautiful interiors and neatly maintained. Located close to koramangala, if you d like to taste the night life. A great spread of dishes to choose for breakfast. Overall a great stay.  ",1,1,3,3,3,1,3,3,3,3,1
The hotel is located right beside Total Mall and can be easily located. The rooms are posh and room service is also excellent. The free breakfast is only till 10:30am and I missed it. But I got a complimentary check-out breakfast. The kitchen is good with a provision of tea/coffee maker. The in-room is really spacious. The rooftop view is superb with a pool.  ,1,1,3,3,3,3,1,3,1,3,1
"Staff people were very kind enough to cater all needs. Complimentary breakfast was excellent. It was luxurious like staying in a mini apartment. But the only thing was a bit costly when compared to the food. Like two water bottles for 1 litre they charged 230. Otherwise, the hotel is excellent.  ",1,0,3,3,3,3,3,1,3,3,3
It was official trip and I have booked this hotel through Makemytrip. The room was very spacious and very clean. Buffet breakfast is complimentary and awesome. You can have buffet dinner as well if money is not an problem. I will suggest this hotel to all.,1,1,3,3,3,1,3,3,3,3,1
"I am a regular to this hotel as everytime I travel to bangalore for business, I stay in this hotel only. Only issue is that this time booked it thru MMT and it costed me double the price of other travel portal. This time I booked for one day thru my regular travel portal while for next day thru MMT.  ",1,3,3,3,3,3,3,3,3,3,3
"I would have given them a rating beyond 5 for their super service! Very nice location, amazingly clean rooms, super prompt front desk, nice buffet spread!! All you need is to come with your clothes and start living!! Amazing experience!! Thanks Sarovar!",1,1,3,3,3,1,3,3,1,1,3
Clean and nice atmosphere. Over there I enjoyed to stay even food are delicious in breakfast but more peoples was corporate peoples over there but nice atmosphere and do new activities for children.,1,1,3,3,3,1,3,3,3,3,3
"I was looking forward to my stay and expecting a 4 star quality. However, I had a series of unpleasant activities. I reached reception and was told that I have been upgraded for free to a superior room. I was slightly surprised as I booked the biggest suite offered by Dravam. I went to my room and did not find it very clean. To my surprise, I saw a dead cockroach in the toilet. I was then transferred to a different suite. I then thought of using the pool. I went to top floor which was a construction floor. The pool was quite dirty with water color being dark blue which meant that it was not cleaned for a long time.  ",2,3,3,3,3,2,2,3,3,3,3
"Davanam Sarovar was very good. The hotel was located in a very good place and the rooms are also very good. I am very happy to stay again in this hotel, but the parking was little bit bad and Wi-Fi facility is also very good. Totally, it was a great experience to stay in this hotel.  ",1,3,3,3,3,3,0,3,1,3,1
I had stayed only one day ambience superb and very nice. They want to improve room service speed. I had ordered one coffee they will bring after 30 mins. Then check out and check in is very easy to me. Breakfast is superb there are so many varieties.,1,1,0,3,1,3,3,3,3,1,3
I usually stay in this hotel only whenever I visit Bangalore. This is a very good property and all facilities are good. The staff are very friendly and pleasant. This time they have improved breakfast items. The food is good and delicious.,1,1,3,3,3,3,1,1,3,3,3
Nice place to stay. The room is very neat and spacious. I could say it is on par with other 5 star hotels. The TV's could be a little bigger. The breakfast was good. Service is ok but can definitely be better - delays in order were major concern else everything was fine.  ,1,1,0,3,3,3,3,3,3,3,1
"Other facilities to be improved, gym is bad. Someone to be there to guide & help customer who is using the gym. I came to know it is getting build on 8th floor, still can be maintained better. Otherwise, room & food is good. Currently commuting is an issue as the road is one way & need to wait for long time for cab. At peak hour, it's very difficult to reach the hotel.  ",0,1,3,3,3,3,2,3,2,3,1
"They allot all kinds of fault rooms to travellers who book through travel websites like makemytrip, goibibo etc. In one room, phone wasn't working in another room, tap was broken, another room, stagnant water problem was there. The front desk people were bit rude to us, the setup is good but it is of no use when you do not know how to treat the guests properly. Everyone needs to be treated equally but people booking through travel websites are seen like minority races. Pathetic behaviour and allotment of rooms.  ",2,3,3,3,3,3,2,2,3,2,3
"Bad hotel with no service. Rooms are large but there is no service. Problem with everything in room from telephone lines to non availability of drinking water etc. Location is worst it's part of mall and entry is from back side of the mall, every driver will get confused in locating this place.  ",2,3,2,3,3,3,3,3,2,3,1
"Had been to bangalore on a business trip, tagged my brother along. Stay was very pleasant. The accomodation was superb. We got a MMT discount which made the stay amazingly inexpensive. Connectivity was a little tricky with all the traffic restrictions in the area. But overall a wonderful experience.  ",1,3,3,3,3,3,3,3,0,3,1
I have not had such a pleasant stay in a hotel in ages. I travel frequently around India and this hotel is by far one of the best experiences I have had over the last 2 years. The staff were fantastic and very friendly. The facilities are very clean and the rooms are lovely. I highly recommend staying here for business or pleasure.  ,1,3,3,3,3,1,3,1,3,3,1
"No phone in the room. No hair dryer. All others are okay. Big room with living room, bedroom, kitchen. Water flow on the pipes are very slow. Not in the range of 5 star level. The property is under construction. Above the Total mall shopping, close to Madiwala Police Station.  ",0,3,3,3,3,3,0,3,0,3,3
Hotel is fine only spa is missing. The service was good rooms were ok. Staff was found to be sincere and prompt. I have stayed with my students and invited alumni meet at this hotel and the arrangements made were excellent. The staff was very cooperative and courteous.,1,3,0,3,3,3,0,1,3,3,3
Placed in an easily accessible area. Rooms were very nice and meticulously clean. Economy of space and placement of furniture were excellent. Complimentary breakfast was very convenient and enjoyable with wide variety of items satisfying customers of any type.,1,1,3,3,3,1,3,3,1,3,1
"I liked everything about the hotel, the service, cleanliness, food etc. The complimentary breakfast provided is excellent. Even the service to the room was prompt without any delay. The safety lockers is the added advantage to store any valuables. Had a pleasant stay at Davanam.  ",1,1,1,3,3,1,3,3,3,3,3
The rooms are larger than any hotel room size. Breakfast provided has many food varieties. Has basement 3 floors of shopping mall. Location of hotel is on reach of Bangalore entrance. Close to Forum shopping mall and Koramangala region. Lacks windows to get fresh air.,1,1,3,3,3,3,3,3,1,3,1
"Waaaw hotel. Top class arrangements. Breakfast was excellent. Just loved the ambiance. The support staff were very courteous and always ready to help. The breakfast was just to good with different varieties of mouth watering menus. Overall, value for money hotel.",1,1,3,1,1,3,3,1,3,3,3
"There are single occupancy or double rate is same in many travel websites but, I went to hotel with my wife (With already intimation to hotel and MakeMyTrip also). The hotel staff are argue with me for extra payment for additional person. This is not fare.",0,3,3,3,3,3,3,2,3,3,3
"The first time I came here, it was absolutely brilliant. The location is convenient and having total mall beside is even better. The rooms have a very good feel to it with its futuristic design, fully loaded facilities and great view. I like how everything is well-organised and put together especially the mini bar. The service is brilliant also as they truly treat their guests well. Breakfast at Tangerine was brilliant, coming here for the second time and loved it again. Brilliant assortment of items from typical English breakfast to the local south Indian dosas, cumulation of fruits and juices all also added well to the menu. The only issue was when we wanted to use the swimming pool and upon confirming timings with staff I paid a visit there after good breakfast at Tangerine, but I was sadly disappointed by the pool, from the picture shown in Make My Trip and what it is the reality is far different, it is unhygienic, construction is still W. I. P. Around and the worst part was that upon returning from pool to lift, we were surrounded by a swarm of bees, Davanam should seriously consider this issue as we saw a mini hive on the outside roof from our room window at 501. If you do look into this issue, ill be motivated to come back here as I like the roof pool concept and would love to take a swim there. Clearly the highlight of Dvanamn is there service and upon sending this feedback they assured immediate action of the same so hope that does happen. Overall, worth the stay, its really good place to relax yourself!   ",1,1,3,3,3,3,2,3,1,3,1
Everything was excellent except location.,1,3,3,3,3,3,3,3,2,3,3
"A great grand holiday, over the weekend, close to where my children are studying and in the lap of luxury, which blew us all away. Great time, grand place and all at a great price. Made a whole lot better by the service from MakeMyTrip staffer, Vijaya who offered a discount when I was making my payment which was icing on the cake. Never ever thought I would be satisfied paying a price for a product. Here I am breaking with the past. Great value for money. All good, no regrets. Thankyou MakeMyTrip and thankyou very much to Davanam Sarovar Portico Suites. Thank you all for MakeMyTrip.  ",1,3,3,1,3,3,3,3,3,3,3
This hotel is better than a 5-star hotel. Amazing food. And the staff are so helpful and accommodating that it brings a smile on your face. They are on their toes and go to a great extent to fulfil your needs and demands. The buffet spread is really wide and the taste and quality of food is just too perfect.  ,1,1,3,3,3,3,3,1,3,3,3
Nice place. Perfect getaway at luxury but swimming pool needs to be done as soon as possible. There was no changing room and working shower but else all fine. Did not try spa felt a bit expensive but if the rates were affordable I might as well wanted to try. Overall a good place.   ,1,3,3,3,3,3,0,3,3,3,3
"Stayed here for over the weekend and found the room and service to be par excellence. The restaurant is a must visit particularly for its ambience. Although we were unable to eat at the restaurant, the staff were kind enough to have the food delivered to our room. Cheers and look forward to returning soon.  ",1,3,3,3,1,3,3,1,3,3,1
Food especially breakfast can be better in terms of quality both the days. I had stomach upset after breakfast. Amenities and all other services were good. Housekeeping can be improved. Overall our stay was good and I continue to stay here whenever I come to bangalore.,1,2,0,3,3,3,1,3,3,3,3
Overall a good experience. Good hotel and hospitality. The room was spacious and well arranged. The buffet was good both for dinner and breakfast and very good service by restaurant staff. Just as one steps out of the hotel you find one side having local market there which is a drawback as it stinks.   ,0,1,1,3,3,3,3,1,2,3,1
"It is a good hotel with good facilities. You won't be feeling lonely as it is having a mall nearby and good food joints. It has a good food and bar. The rooms are quite big and have great space with your own kitchen area, which allows you to cook and eat. I had a good feel.  ",1,3,3,3,3,3,1,3,1,3,1
"Sarovar is very well maintained and the staff is extremely helpful and warm. Food was fresh and tasty. The black dal and prawns curry is something that should not be missed. On the whole the room, services and food was excellent. Would definitely want to visit yet again.  ",1,1,1,3,3,3,3,1,3,3,3
"The location was good, room are big in size and comfortable, environment was nice and family fully enjoyed to stay and staff were also good but restaurant were taking too much time to serve the food. Food quality need some attention.",0,1,3,3,3,3,3,1,1,3,1
"Food- not all items on ala carte available, coordination between steward and cooks lacking. Staff were courteous and helpful. Incident was nothing eventful. Main entry to be more attractive. Increase variety in toiletries. AC extremly cooler.",0,2,3,3,0,3,0,1,3,3,3
Rooms were booked by make my trip executive room which was with kitchen and big room but the room was smaller and no kitchen and the manager named puneet argued that there was a kitchen when I pulled him to room and then he was silent at last he asked for minibar and showed the bill charge for minibar so it was waste hotel.  ,2,3,3,3,3,3,3,3,3,2,2
"We stayed there for 3 days and it was awesome!! The suite is really awesome, clean, beautifully designed. The food at the Tangerine restaurant in Sarovar portico bangalore is very good and hospitality is remarkable. The hotel staff behavior is really very nice. Would love to stay there again in my future trips.  ",1,1,3,3,3,3,3,1,3,3,1
Spacious and luxurious rooms. Very clean and modern setting. Hotel staff is very hospitable. Room has a mini bar and is quite reasonable. The hotel has its own restaurants which have great food too. Bathrooms come with basic utilities which makes our stay much more convenient. Loved the stay!  ,1,1,3,1,3,1,1,1,3,3,1
The hotel is located near Silk Board Junction which is heavily congested so that makes the travel to and from very time consuming. Also the road up to the hotel was closed so we could not drive up to the hotel. Other than that the room is very spacious and the hospitality is excellent as well.  ,0,3,3,3,3,3,3,1,2,3,3
